rpm,engine_temp,fuel_pressure,battery_voltage,vibration,ambient_temp_c,elevation_ft,payload_ratio,road_grade_pct,idle_hours_day,engine_temp_delta_30d,fuel_pressure_delta_30d,battery_voltage_delta_30d,vibration_delta_30d,failure,failure_probability_true
1826.93,121.92,62.33,13.607,0.562,44.5,641.9,0.626,1.148,2.394,2.118,-1.572,-0.4745,0.0449,0,0.083173
1753.47,104.23,64.05,13.37,0.823,-2.91,246.3,0.812,0.275,3.266,1.347,2.165,-0.3178,0.1128,0,0.001501
1700.87,119.0,56.47,13.357,0.892,16.67,2811.1,0.766,2.759,0.733,0.457,0.332,-0.1179,0.4459,0,0.006693
1895.11,109.38,61.85,13.945,0.449,15.11,1540.8,0.533,1.627,0.92,0.155,-2.023,-0.2308,0.0414,0,0.000824
1826.3,122.46,61.03,13.837,0.824,43.26,1134.6,0.868,1.507,1.143,2.207,-2.346,-0.2748,0.2922,0,0.035571
1633.97,96.03,61.1,13.439,0.369,0.44,941.8,0.487,0.462,1.418,2.038,-0.95,-0.0264,-0.0999,0,0.000824
1940.54,118.53,68.11,13.627,0.799,29.69,2520.4,0.712,2.311,2.277,-3.75,-1.213,-0.3234,0.3077,0,0.006693
2028.97,123.52,65.81,13.846,1.137,22.24,1943.7,0.807,3.065,1.197,0.781,1.701,-0.2722,0.5115,0,0.401312
1863.15,119.38,60.71,13.561,0.666,40.8,836.3,0.526,2.06,2.475,-0.694,-0.288,-0.3652,0.077,0,0.016302
1924.11,105.9,62.68,13.346,0.621,-4.45,1434.4,0.757,1.986,1.662,0.231,0.87,-0.2499,0.063,0,0.000824
1759.87,113.59,57.35,13.752,0.47,22.75,1418.5,0.679,1.357,2.215,-3.229,0.302,-0.1677,0.0829,0,0.006693
1496.88,114.79,61.78,13.475,0.563,27.44,2264.5,0.32,0.0,1.727,-4.31,1.027,0.0037,-0.0371,0,0.006693
2285.76,117.59,56.47,13.79,1.341,9.35,6235.0,0.876,4.631,1.352,2.553,-0.079,-0.4152,0.2626,0,0.091123
1502.41,110.58,63.5,14.084,0.586,16.77,747.3,0.454,0.966,0.959,-1.057,-1.985,-0.1075,-0.1009,0,0.006693
1744.35,105.69,63.82,13.106,0.7,-11.71,2107.9,0.412,1.478,2.479,0.09,-1.727,-0.3302,-0.0348,0,0.000824
1853.38,120.13,61.81,13.572,0.59,37.78,2440.4,0.892,0.326,1.231,-0.452,-2.624,0.1058,0.0299,0,0.035571
1807.86,109.65,55.16,13.954,0.778,5.46,6915.1,0.63,3.029,2.059,-1.168,0.778,-0.1015,0.1478,0,0.001659
1761.69,112.75,64.56,13.84,0.714,31.03,1648.1,0.835,0.488,2.715,0.808,2.606,-0.1666,0.2757,0,0.012128
1713.59,109.82,64.13,13.514,0.568,35.23,2278.1,0.628,1.288,3.205,0.72,0.739,-0.2919,-0.0875,0,0.001501
2254.57,118.48,61.09,14.082,0.892,-0.3,5578.8,0.569,3.753,0.174,0.441,2.394,0.0139,0.2799,0,0.006693
1926.92,107.88,60.92,13.797,1.095,3.61,306.0,0.97,1.779,1.366,4.057,-0.814,-0.1314,0.3076,0,0.000824
1886.99,111.02,62.79,13.492,0.97,11.22,3602.7,0.737,1.194,4.027,0.636,-0.854,-0.4394,-0.0907,0,0.029312
2082.45,107.52,60.31,13.596,1.049,13.07,1951.5,0.806,2.33,2.051,-2.49,0.73,-0.3207,0.3527,0,0.000824
1677.47,107.51,62.62,13.877,0.512,11.51,595.4,0.657,0.27,1.149,0.611,-0.91,-0.2494,0.1051,0,0.000824
1786.93,113.49,61.34,13.759,0.871,26.01,1166.5,0.9,0.0,1.782,1.728,0.939,-0.1006,0.1133,0,0.006693
1855.91,124.56,66.19,13.59,1.018,39.31,1235.6,0.837,2.231,2.545,-1.524,0.063,-0.1891,0.2173,0,0.035571
1795.82,111.0,62.73,13.515,0.845,-0.13,4771.8,0.616,2.054,2.406,-1.654,0.677,-0.1765,0.1451,0,0.006693
1750.29,121.8,62.2,13.901,0.625,43.43,2488.7,0.731,1.447,0.685,-0.012,-0.157,-0.3113,0.1385,0,0.035571
1981.82,124.77,64.81,13.866,1.021,28.81,1032.4,0.853,2.9,2.209,-2.525,-0.886,-0.2523,0.2106,0,0.035571
2013.68,120.3,59.34,14.05,0.913,8.41,476.9,0.766,2.905,0.85,1.009,0.762,-0.0054,0.2306,0,0.035571
1802.73,116.02,62.19,13.578,0.636,20.49,2011.1,0.523,2.818,1.527,2.128,0.595,-0.1851,0.1375,0,0.006693
1738.36,116.96,56.91,14.225,0.493,11.87,1607.8,0.803,0.0,0.394,0.01,3.0,-0.0302,0.003,0,0.006693
1786.64,112.06,63.25,13.543,0.574,10.16,1231.4,0.653,2.044,1.972,1.442,0.462,-0.2065,0.0171,0,0.006693
1694.4,99.47,61.26,12.231,0.595,-22.08,341.5,0.478,2.356,2.595,-0.265,-1.526,-0.2576,0.2022,0,0.001833
2138.65,104.93,55.76,13.25,1.094,-8.69,8613.3,0.907,2.871,0.201,0.213,0.429,-0.2408,0.3593,0,0.001659
1791.47,125.06,63.92,13.32,0.88,46.2,893.7,0.744,3.095,1.767,-0.765,-1.155,-0.2591,0.1607,0,0.035571
1706.4,120.62,65.55,13.858,0.625,34.91,1256.3,0.547,1.246,3.235,-2.662,2.1,-0.2707,0.203,0,0.062973
2137.46,113.09,62.86,13.465,0.764,14.45,7221.5,0.687,2.882,1.362,-0.549,-1.582,-0.1819,0.1962,0,0.013387
1874.01,116.43,57.33,13.224,0.868,37.8,1799.8,0.842,0.0,1.25,0.739,-1.559,-0.1514,0.1174,0,0.006693
1794.08,118.76,64.8,13.53,0.629,34.78,482.2,0.518,2.444,2.153,-3.086,-0.295,-0.2474,0.2147,0,0.006693
1811.45,99.1,56.07,13.288,0.64,-9.99,2404.5,0.787,1.836,0.736,1.052,-1.238,-0.0696,0.0765,0,0.000824
1734.69,110.99,64.58,13.788,0.459,3.12,640.8,0.501,1.514,0.924,-1.891,-1.441,-0.2756,0.1792,0,0.006693
1752.21,104.91,62.85,13.781,0.833,1.83,1952.5,0.784,0.688,1.651,1.905,-0.737,-0.1231,0.2036,0,0.000824
1415.16,88.13,59.18,12.465,0.54,-13.91,652.1,0.457,0.0,2.099,0.509,-1.348,-0.1188,0.0046,0,0.000824
1754.91,121.83,64.7,13.878,0.72,38.5,437.5,0.536,2.387,1.737,1.211,-2.258,-0.2431,-0.0318,0,0.035571
1695.56,106.23,62.37,13.215,0.665,19.72,1749.5,0.655,0.835,2.365,-0.174,3.475,-0.268,0.0048,0,0.000824
1997.2,110.57,64.29,12.665,1.228,-17.78,2328.4,0.883,1.822,2.043,3.783,-3.513,-0.3093,0.2718,0,0.109097
1820.42,100.49,59.6,13.218,0.833,-18.95,1863.8,0.688,1.531,1.024,0.638,0.959,-0.1526,0.1425,0,0.000824
